Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2007,04/01/2007,03/31/2010,03/07/2007,03/07/2007,Standard Grant,216005,0700021,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/15/2007,06/30/2011,07/10/2007,07/10/2007,Standard Grant,119999,0700030,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,09/01/2007,08/31/2011,07/24/2007,07/24/2007,Standard Grant,313335,0700044,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2010,04/06/2007,04/06/2007,Standard Grant,142760,0700045,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2010,07/10/2007,07/10/2007,Standard Grant,116389,0700047,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,05/01/2007,12/31/2011,04/24/2007,04/24/2007,Standard Grant,200000,0700048,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2011,07/24/2007,07/24/2007,Standard Grant,128678,0700052,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,08/31/2007,05/01/2007,05/01/2007,Standard Grant,150000,0700075,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,09/30/2008,06/13/2007,06/13/2007,Continuing Grant,70826,0700078,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,09/01/2007,08/31/2009,07/18/2007,07/18/2007,Fellowship,156000,0700080,Office Of The Director,Office Of Internatl Science &Engineering
2007,09/19/2006,08/31/2009,12/12/2006,08/07/2008,Standard Grant,163491,0700082,Direct For Biological Sciences,Division Of Integrative Organismal Systems
2007,06/15/2007,05/31/2011,06/05/2007,06/05/2007,Standard Grant,149854,0700094,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/15/2007,05/31/2010,06/11/2007,06/11/2007,Standard Grant,171074,0700104,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2010,05/01/2007,04/17/2008,Standard Grant,106216,0700107,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/15/2007,07/31/2011,08/03/2007,03/27/2009,Continuing grant,166672,0700120,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,03/20/2007,03/24/2009,Continuing grant,158400,0700126,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,05/10/2007,02/09/2009,Standard Grant,76988,0700128,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,07/01/2007,06/30/2010,06/27/2007,06/27/2007,Standard Grant,166594,0700131,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,04/01/2007,03/31/2011,03/07/2007,03/07/2007,Standard Grant,284980,0700139,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/01/2007,08/31/2010,08/21/2007,08/21/2007,Standard Grant,248741,0700152,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/15/2007,05/31/2012,06/11/2007,06/11/2007,Standard Grant,158267,0700161,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2012,04/16/2007,05/30/2008,Standard Grant,282500,0700172,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2007,09/01/2007,08/31/2010,08/01/2007,08/01/2007,Standard Grant,217747,0700174,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,08/01/2007,01/31/2013,08/16/2007,06/05/2012,Standard Grant,256623,0700178,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/01/2007,08/31/2010,08/20/2007,05/12/2009,Standard Grant,204152,0700191,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2011,06/22/2007,06/22/2007,Standard Grant,105000,0700193,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,03/30/2007,03/30/2007,Standard Grant,277618,0700203,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2010,07/19/2007,07/19/2007,Standard Grant,192413,0700204,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2011,05/29/2007,07/27/2010,Standard Grant,294673,0700219,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,05/15/2007,04/30/2011,05/16/2007,03/03/2010,Standard Grant,290000,0700232,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,03/15/2007,10/31/2008,03/13/2007,03/13/2007,Interagency Agreement,119960,0700233,Directorate For Geosciences,Office of Polar Programs (OPP)
2007,08/15/2007,07/31/2012,08/03/2007,08/03/2007,Standard Grant,131958,0700238,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,07/15/2007,11/30/2007,07/06/2007,07/06/2007,Standard Grant,90034,0700266,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/01/2007,08/31/2012,08/28/2007,08/28/2007,Standard Grant,520709,0700272,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2011,07/24/2007,01/12/2011,Standard Grant,254235,0700278,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2013,04/24/2007,05/05/2011,Continuing Grant,412463,0700280,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,07/01/2007,06/30/2014,04/24/2007,05/05/2011,Continuing Grant,469948,0700281,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,08/01/2007,07/31/2010,06/05/2007,06/05/2007,Standard Grant,259705,0700289,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2012,04/24/2007,04/24/2007,Standard Grant,334700,0700294,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2011,05/16/2007,04/20/2009,Continuing grant,172416,0700297,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,11/30/2008,04/24/2007,04/24/2007,Standard Grant,225000,0700299,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/15/2007,08/31/2010,09/07/2007,08/10/2009,Standard Grant,125360,0700301,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/15/2007,05/31/2011,09/07/2007,08/07/2009,Standard Grant,127500,0700304,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/15/2007,07/31/2011,08/15/2007,05/20/2008,Standard Grant,273000,0700306,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2007,09/01/2007,08/31/2011,08/29/2007,07/29/2009,Standard Grant,359000,0700307,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,09/30/2007,03/30/2007,03/30/2007,Standard Grant,225000,0700309,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2011,05/10/2007,05/10/2007,Standard Grant,127000,0700318,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,07/01/2007,06/30/2011,06/19/2007,04/22/2009,Continuing grant,255000,0700322,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,09/01/2007,08/31/2011,09/06/2007,09/06/2007,Standard Grant,80000,0700323,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,05/01/2007,04/30/2009,04/23/2007,04/23/2008,Standard Grant,10000,0700329,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
2007,08/01/2007,09/30/2009,05/24/2007,09/29/2009,Standard Grant,45329,0700341,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2007,07/01/2007,06/30/2010,03/16/2007,03/16/2007,Standard Grant,150000,0700351,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,04/01/2007,03/31/2010,03/15/2007,03/15/2007,Standard Grant,65978,0700354,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2007,09/01/2007,12/31/2008,08/17/2007,08/17/2007,Standard Grant,87048,0700358,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,05/10/2007,05/10/2007,Standard Grant,128906,0700359,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,07/01/2007,06/30/2010,06/29/2007,06/29/2007,Standard Grant,99435,0700360,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,09/01/2007,08/31/2010,08/22/2007,08/22/2007,Standard Grant,66001,0700363,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,05/15/2007,04/30/2011,05/15/2007,07/24/2008,Standard Grant,327457,0700377,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2011,02/23/2007,02/23/2007,Standard Grant,341074,0700383,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/01/2007,08/31/2010,08/30/2007,08/30/2007,Standard Grant,139767,0700389,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2011,05/17/2007,03/10/2010,Standard Grant,286000,0700405,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2010,05/10/2007,06/02/2009,Fellowship,133400,0700410,Office Of The Director,Office Of Internatl Science &Engineering
2007,09/01/2007,08/31/2010,08/29/2007,08/29/2007,Standard Grant,140000,0700411,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/01/2007,05/31/2011,05/31/2007,05/31/2007,Standard Grant,399854,0700414,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,09/01/2007,10/31/2010,08/22/2007,08/22/2007,Standard Grant,134001,0700415,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,08/01/2007,07/31/2011,07/24/2007,06/05/2009,Standard Grant,105757,0700419,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,05/01/2007,04/30/2008,04/23/2007,04/23/2007,Standard Grant,10000,0700423,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
2007,05/15/2007,09/30/2011,04/10/2007,03/24/2009,Continuing grant,189001,0700427,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,05/18/2007,10/11/2007,Standard Grant,268028,0700440,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,06/15/2007,05/31/2011,06/11/2007,05/21/2009,Standard Grant,224853,0700444,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2012,05/07/2007,08/31/2011,Continuing Grant,137115,0700446,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,09/01/2007,08/31/2009,05/22/2007,05/22/2007,Fellowship,140268,0700452,Office Of The Director,Office Of Internatl Science &Engineering
2007,09/01/2007,08/31/2011,08/23/2007,08/23/2007,Standard Grant,298648,0700458,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,05/15/2007,04/30/2011,04/06/2007,05/14/2008,Standard Grant,312000,0700468,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,07/01/2007,06/30/2010,06/18/2007,06/18/2007,Interagency Agreement,112329,0700469,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,06/01/2007,05/31/2011,04/20/2007,04/20/2007,Standard Grant,84535,0700471,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2007,10/01/2006,04/30/2007,10/26/2006,10/26/2006,Continuing grant,67502,0700478,Direct For Mathematical & Physical Scien,Division Of Materials Research
2007,10/01/2007,09/30/2011,04/23/2007,04/23/2007,Standard Grant,53129,0700484,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2007,03/15/2007,02/28/2009,03/13/2007,03/13/2007,Standard Grant,10000,0700488,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
