Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2003,07/01/2003,06/30/2006,06/09/2003,06/09/2003,Standard Grant,90000,0300004,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,06/01/2002,12/31/2003,03/26/2003,03/26/2003,Standard Grant,81260,0300005,Direct For Mathematical & Physical Scien,Division Of Astronomical Sciences
2003,05/01/2003,05/31/2006,04/11/2003,04/11/2003,Standard Grant,267335,0300014,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2003,06/01/2003,05/31/2007,05/08/2003,06/19/2006,Standard Grant,400000,0300018,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2003,04/15/2003,03/31/2007,04/09/2003,03/31/2005,Continuing grant,216000,0300025,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2003,06/01/2003,10/31/2004,05/02/2003,05/02/2003,Standard Grant,400000,0300032,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2003,07/15/2003,06/30/2007,07/08/2003,05/10/2005,Continuing Grant,183287,0300034,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,06/01/2003,05/31/2007,04/26/2003,04/26/2003,Standard Grant,190072,0300037,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2003,07/01/2003,06/30/2007,04/04/2003,06/30/2005,Continuing grant,400000,0300044,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2003,06/01/2003,08/31/2007,03/12/2003,06/07/2007,Standard Grant,230234,0300051,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2003,10/15/2003,09/30/2008,04/16/2003,07/12/2007,Continuing Grant,100000,0300055,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,07/15/2003,06/30/2007,06/18/2003,11/10/2004,Continuing grant,120000,0300058,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,07/01/2003,06/30/2006,04/04/2003,01/25/2005,Continuing Grant,120000,0300064,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,06/01/2003,05/31/2007,05/06/2003,04/29/2005,Continuing grant,275306,0300065,Direct For Mathematical & Physical Scien,Division Of Physics
2003,06/01/2003,05/31/2006,04/09/2003,11/17/2005,Continuing Grant,208716,0300071,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2003,07/15/2003,06/30/2004,07/15/2003,07/15/2003,Standard Grant,53262,0300072,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2003,08/15/2003,07/31/2007,08/06/2003,06/20/2005,Continuing Grant,126194,0300080,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,07/01/2003,03/31/2006,04/04/2003,06/02/2005,Continuing Grant,238761,0300081,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2003,05/01/2003,04/30/2007,04/03/2003,07/23/2003,Standard Grant,203100,0300086,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
