Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2009,08/15/2009,07/31/2013,08/07/2009,08/07/2009,Standard Grant,299998,0900004,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,05/01/2009,04/30/2014,04/27/2009,04/27/2009,Standard Grant,275000,0900007,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/15/2009,05/31/2013,06/02/2009,06/02/2009,Standard Grant,190000,0900015,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,08/31/2012,08/31/2009,08/03/2010,Continuing Grant,135001,0900018,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2009,07/01/2009,06/30/2014,06/22/2009,06/22/2009,Standard Grant,198000,0900027,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,05/31/2015,08/06/2009,06/24/2014,Standard Grant,356000,0900040,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/19/2009,06/19/2009,Standard Grant,350000,0900043,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2009,07/01/2009,06/30/2013,06/17/2009,06/17/2009,Standard Grant,496260,0900044,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/01/2009,05/31/2013,05/21/2009,05/21/2009,Standard Grant,528395,0900054,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,12/31/2012,08/27/2009,07/31/2011,Continuing Grant,358000,0900058,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2013,07/23/2009,07/23/2009,Standard Grant,280000,0900064,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/15/2009,06/15/2009,Standard Grant,204171,0900065,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,12/31/2013,06/19/2009,06/19/2009,Standard Grant,245997,0900070,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/12/2009,06/12/2009,Standard Grant,476449,0900093,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/15/2009,06/15/2009,Standard Grant,241954,0900094,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/01/2009,09/30/2013,05/26/2009,04/13/2013,Standard Grant,403148,0900101,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,08/31/2014,05/26/2009,05/26/2009,Standard Grant,390139,0900105,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,02/15/2009,01/31/2010,02/02/2009,02/02/2009,Standard Grant,9000,0900108,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2009,08/15/2009,10/31/2012,08/06/2009,08/06/2009,Standard Grant,180000,0900111,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/29/2009,06/29/2009,Standard Grant,249900,0900113,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,05/15/2009,04/30/2014,02/09/2009,02/09/2009,Standard Grant,328330,0900119,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/15/2009,07/31/2012,08/10/2009,08/10/2009,Standard Grant,279948,0900127,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2013,07/14/2009,08/08/2011,Standard Grant,306000,0900138,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,04/01/2009,09/30/2012,03/27/2009,10/12/2011,Standard Grant,311876,0900143,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2008,10/31/2011,01/21/2009,01/21/2009,Standard Grant,286948,0900147,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2009,06/01/2009,05/31/2014,05/12/2009,05/12/2009,Standard Grant,294226,0900148,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/15/2009,09/30/2013,06/12/2009,06/12/2009,Standard Grant,250000,0900159,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2012,06/19/2009,12/02/2010,Standard Grant,352508,0900162,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/15/2009,07/31/2013,08/07/2009,08/07/2009,Standard Grant,128781,0900163,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/15/2009,05/31/2013,06/11/2009,06/11/2009,Standard Grant,200142,0900167,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/01/2009,05/31/2013,04/07/2009,04/07/2009,Standard Grant,143327,0900170,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,08/31/2012,08/31/2009,08/13/2010,Continuing grant,139844,0900177,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2009,06/15/2009,09/30/2013,06/02/2009,06/02/2009,Standard Grant,250260,0900179,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,05/26/2009,05/26/2009,Standard Grant,207650,0900181,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/15/2009,07/31/2013,02/12/2009,12/05/2011,Standard Grant,306000,0900182,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2013,07/21/2009,09/01/2011,Standard Grant,437576,0900184,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/15/2009,01/31/2013,08/10/2009,08/10/2009,Standard Grant,280000,0900187,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2012,05/05/2009,05/05/2009,Standard Grant,218011,0900188,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2014,04/27/2009,09/04/2012,Continuing grant,395000,0900190,Direct For Mathematical & Physical Scien,Division Of Physics
2009,07/15/2009,06/30/2013,07/08/2009,07/08/2009,Standard Grant,279862,0900196,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,04/01/2009,03/31/2014,03/04/2009,03/04/2009,Standard Grant,219943,0900197,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2012,06/12/2009,06/12/2009,Standard Grant,230223,0900206,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2013,07/31/2009,03/18/2011,Standard Grant,200999,0900219,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,09/30/2013,07/14/2009,07/18/2012,Standard Grant,343882,0900226,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,01/01/2009,12/31/2010,11/13/2008,02/24/2010,Standard Grant,23670,0900229,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2009,08/01/2009,07/31/2012,07/21/2009,10/09/2009,Standard Grant,142791,0900233,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2009,05/15/2009,08/31/2012,05/14/2009,02/07/2011,Continuing grant,420000,0900238,Direct For Mathematical & Physical Scien,Division Of Materials Research
2009,08/15/2009,07/31/2014,08/04/2009,08/04/2009,Standard Grant,116928,0900239,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2009,07/01/2009,06/30/2013,06/30/2009,02/16/2011,Standard Grant,248361,0900253,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/01/2009,07/31/2013,05/05/2009,05/05/2009,Standard Grant,279027,0900254,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,07/01/2009,06/30/2013,06/23/2009,06/23/2009,Standard Grant,319999,0900255,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,09/01/2009,08/31/2013,03/06/2009,08/19/2011,Standard Grant,292632,0900266,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,08/15/2009,07/31/2014,08/10/2009,01/28/2012,Standard Grant,292250,0900271,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2009,06/01/2009,05/31/2014,04/07/2009,04/07/2009,Standard Grant,143333,0900275,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
