Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2011,06/01/2011,05/31/2012,02/22/2011,02/22/2011,Standard Grant,24000,1100007,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,06/01/2011,05/31/2015,04/01/2011,04/01/2011,Standard Grant,135000,1100008,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,04/01/2011,03/31/2014,04/01/2011,04/01/2011,Standard Grant,211645,1100020,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,10/01/2010,10/31/2011,10/07/2010,10/07/2010,Contract Interagency Agreement,213000,1100022,"Direct For Social, Behav & Economic Scie",National Center For S&E Statistics
2011,09/01/2011,08/31/2016,08/26/2011,08/26/2011,Standard Grant,250000,1100031,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,03/01/2011,02/28/2015,01/03/2011,02/14/2013,Continuing Grant,11176,1100033,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,01/01/2011,12/31/2011,12/16/2010,12/16/2010,Standard Grant,22190,1100045,Direct For Mathematical & Physical Scien,Division Of Astronomical Sciences
2011,08/01/2011,10/31/2014,04/29/2011,05/06/2013,Continuing Grant,218486,1100046,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,07/01/2011,06/30/2015,03/04/2011,06/01/2012,Standard Grant,426999,1100066,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,03/01/2011,05/31/2016,01/03/2011,12/13/2013,Continuing grant,13610,1100071,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,06/01/2011,05/31/2016,05/13/2011,05/13/2011,Standard Grant,296536,1100080,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,05/01/2011,04/30/2015,04/12/2011,04/21/2014,Standard Grant,280000,1100082,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,05/01/2011,04/30/2015,04/08/2011,04/08/2011,Standard Grant,288690,1100085,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,07/01/2011,06/30/2014,07/07/2011,07/07/2011,Standard Grant,200000,1100101,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/01/2011,08/31/2013,08/15/2011,01/28/2013,Standard Grant,352726,1100109,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/01/2011,08/31/2017,08/17/2011,07/27/2016,Standard Grant,387753,1100131,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,06/15/2011,09/30/2012,06/07/2011,09/17/2013,Standard Grant,240162,1100135,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,06/01/2011,05/31/2015,03/09/2011,03/09/2011,Standard Grant,159996,1100144,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,06/01/2011,05/31/2015,03/24/2011,03/24/2011,Standard Grant,180000,1100146,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,07/01/2011,06/30/2015,04/18/2011,04/18/2011,Standard Grant,300000,1100147,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,05/01/2011,04/30/2014,03/29/2011,03/29/2011,Standard Grant,352319,1100166,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/01/2011,08/31/2015,09/01/2011,09/01/2011,Standard Grant,92291,1100171,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,07/01/2011,06/30/2014,03/24/2011,03/24/2011,Standard Grant,274193,1100177,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/15/2011,08/31/2017,09/14/2011,07/05/2016,Continuing Grant,466000,1100179,Direct For Mathematical & Physical Scien,Division Of Physics
2011,09/01/2011,08/31/2015,08/17/2011,08/17/2011,Standard Grant,170103,1100180,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,08/01/2011,07/31/2015,02/22/2011,02/22/2011,Standard Grant,280000,1100185,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,03/01/2011,02/28/2015,01/03/2011,01/17/2012,Continuing Grant,12860,1100197,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,09/01/2011,08/31/2015,08/26/2011,08/26/2011,Standard Grant,350000,1100205,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,07/01/2011,06/30/2015,03/08/2011,05/01/2013,Standard Grant,355261,1100207,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,05/01/2011,04/30/2015,04/26/2011,04/09/2013,Continuing Grant,465368,1100208,Direct For Biological Sciences,Div Of Biological Infrastructure
2011,07/01/2011,06/30/2015,06/09/2011,09/17/2012,Standard Grant,246557,1100215,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2011,02/01/2011,01/31/2012,12/01/2010,12/01/2010,Standard Grant,15000,1100218,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2011,01/15/2011,12/31/2014,01/07/2011,06/07/2011,Standard Grant,207480,1100221,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2011,07/01/2011,06/30/2017,03/14/2011,08/31/2016,Standard Grant,279908,1100227,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/01/2011,08/31/2015,08/30/2011,07/08/2015,Standard Grant,531320,1100232,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,09/01/2011,08/31/2014,06/22/2011,06/22/2011,Standard Grant,299992,1100245,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,08/01/2011,07/31/2015,07/18/2011,07/18/2011,Standard Grant,381015,1100257,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2011,08/01/2011,07/31/2017,08/22/2011,06/06/2016,Standard Grant,356000,1100260,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
