Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2014,08/01/2014,06/30/2016,07/18/2014,07/18/2014,Standard Grant,250000,1400009,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,05/15/2014,04/30/2018,05/05/2014,05/05/2014,Standard Grant,310671,1400017,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,05/15/2014,04/30/2018,05/05/2014,04/25/2017,Standard Grant,461000,1400018,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,01/01/2014,08/31/2016,11/26/2013,11/26/2013,Standard Grant,45000,1400019,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,08/01/2014,07/31/2018,06/15/2014,07/29/2016,Continuing Grant,244000,1400027,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,07/01/2014,06/30/2019,01/23/2014,01/23/2014,Standard Grant,400580,1400050,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,06/15/2014,05/31/2017,05/23/2014,05/28/2015,Continuing grant,485000,1400052,Direct For Mathematical & Physical Scien,Division Of Chemistry
2014,04/15/2014,05/31/2015,04/11/2014,04/11/2014,Standard Grant,22050,1400055,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,06/01/2014,05/31/2018,05/03/2014,05/03/2014,Standard Grant,160000,1400063,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,07/01/2014,06/30/2018,06/26/2014,06/26/2014,Standard Grant,265783,1400065,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,08/15/2014,07/31/2017,08/05/2014,08/05/2014,Standard Grant,99476,1400073,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,08/15/2014,06/30/2018,07/18/2014,07/18/2014,Standard Grant,420002,1400077,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,02/01/2014,07/31/2014,02/11/2014,02/11/2014,Standard Grant,12000,1400098,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,08/01/2014,07/31/2019,07/14/2014,07/14/2014,Standard Grant,240000,1400100,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,07/01/2014,09/30/2019,06/10/2014,06/19/2019,Standard Grant,559231,1400142,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,06/15/2014,05/31/2019,06/15/2014,06/15/2014,Standard Grant,400000,1400164,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,08/01/2014,07/31/2019,07/17/2014,07/17/2014,Standard Grant,349999,1400167,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,05/01/2014,04/30/2016,01/27/2014,01/27/2014,Standard Grant,37000,1400168,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,05/15/2014,04/30/2019,05/05/2014,05/05/2014,Standard Grant,299994,1400169,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,08/01/2014,07/31/2018,07/21/2014,07/21/2014,Standard Grant,289898,1400193,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,05/01/2014,04/30/2017,04/30/2014,04/30/2014,Standard Grant,410000,1400195,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,07/01/2014,06/30/2018,05/22/2014,05/16/2016,Continuing grant,360000,1400208,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2014,08/01/2014,07/31/2018,02/24/2014,02/24/2014,Standard Grant,300000,1400217,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,06/01/2014,05/31/2019,04/04/2014,04/04/2014,Standard Grant,250000,1400224,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2014,04/01/2014,03/31/2016,03/04/2014,03/04/2014,Standard Grant,27204,1400237,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
