Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2008,06/01/2008,05/31/2012,04/22/2008,04/22/2008,Standard Grant,281167,0800004,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,03/01/2008,02/28/2009,02/26/2008,02/26/2008,Standard Grant,20200,0800014,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2008,05/01/2008,04/30/2012,04/14/2008,03/08/2010,Standard Grant,177948,0800016,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,12/31/2012,06/18/2008,06/18/2008,Standard Grant,222600,0800018,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,05/01/2008,04/30/2012,04/25/2008,03/31/2009,Standard Grant,309973,0800019,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,06/30/2010,05/12/2008,05/27/2008,Standard Grant,100000,0800023,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,06/30/2012,06/24/2008,05/17/2010,Continuing grant,570000,0800026,Direct For Mathematical & Physical Scien,Division Of Physics
2008,07/01/2008,08/31/2010,06/23/2008,06/23/2008,Standard Grant,272252,0800030,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,05/01/2008,05/31/2012,04/25/2008,04/29/2010,Standard Grant,256000,0800037,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,06/01/2008,05/31/2012,04/29/2008,07/07/2011,Standard Grant,224997,0800044,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,01/15/2008,12/31/2009,01/15/2008,01/15/2008,Standard Grant,199998,0800048,Direct For Mathematical & Physical Scien,Division Of Materials Research
2008,09/01/2008,08/31/2012,08/25/2008,08/25/2008,Standard Grant,390764,0800057,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,06/01/2008,11/30/2010,05/01/2008,03/01/2010,Continuing grant,108675,0800061,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,06/01/2008,05/31/2014,05/02/2008,05/02/2008,Standard Grant,368911,0800070,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,10/15/2008,09/30/2012,10/16/2008,10/16/2008,Standard Grant,150000,0800084,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,09/15/2008,08/31/2012,09/16/2008,09/16/2008,Standard Grant,120540,0800085,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,07/01/2008,06/30/2012,06/18/2008,06/18/2008,Standard Grant,221112,0800086,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,06/30/2012,06/30/2008,03/30/2010,Continuing grant,165307,0800099,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,09/01/2008,08/31/2012,05/13/2008,09/14/2009,Standard Grant,305932,0800100,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,08/15/2008,07/31/2012,06/04/2008,01/14/2009,Standard Grant,181303,0800103,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,05/01/2008,04/30/2011,04/11/2008,04/11/2008,Standard Grant,181566,0800117,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,06/30/2012,06/24/2008,06/24/2008,Standard Grant,320000,0800122,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/01/2008,06/30/2012,06/13/2008,06/13/2008,Standard Grant,150001,0800129,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2008,07/01/2008,06/30/2012,06/18/2008,06/18/2008,Standard Grant,318000,0800151,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,06/15/2008,11/30/2011,06/03/2008,09/08/2010,Standard Grant,213684,0800154,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,08/15/2008,07/31/2012,06/04/2008,06/13/2012,Standard Grant,154985,0800155,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,09/01/2008,08/31/2011,04/24/2008,04/24/2008,Standard Grant,220000,0800158,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,07/15/2008,06/30/2011,07/11/2008,07/11/2008,Standard Grant,301786,0800161,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,05/01/2008,04/30/2012,04/14/2008,04/14/2008,Standard Grant,316643,0800168,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2008,08/01/2008,12/31/2008,07/18/2008,07/18/2008,Standard Grant,231407,0800170,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
