Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2015,01/15/2015,12/31/2016,01/22/2015,01/22/2015,Standard Grant,49467,1500004,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2015,10/15/2014,08/31/2016,11/03/2014,11/03/2014,Standard Grant,151149,1500007,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2015,03/01/2015,12/31/2016,03/03/2015,03/03/2015,Standard Grant,54202,1500024,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2015,08/15/2015,07/31/2019,08/07/2015,06/19/2017,Continuing Grant,180000,1500031,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,07/15/2015,06/30/2018,07/15/2015,07/15/2015,Standard Grant,197698,1500033,Direct For Education and Human Resources,Division Of Graduate Education
2015,07/01/2015,06/30/2016,03/02/2015,03/02/2015,Standard Grant,22900,1500034,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,07/01/2015,06/30/2019,03/24/2015,06/09/2017,Continuing Grant,420000,1500035,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,07/15/2015,06/30/2017,07/15/2015,07/15/2015,Standard Grant,229280,1500039,Direct For Education and Human Resources,Division Of Graduate Education
2015,06/01/2015,05/31/2019,05/26/2015,08/31/2018,Standard Grant,280000,1500041,Direct For Mathematical & Physical Scien,Division Of Physics
2015,07/15/2015,12/31/2018,07/08/2015,11/21/2016,Standard Grant,299376,1500046,Direct For Education and Human Resources,Division Of Graduate Education
2015,08/01/2015,12/31/2018,08/05/2015,06/10/2017,Continuing grant,160000,1500050,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,06/01/2015,05/31/2018,06/03/2015,06/03/2015,Standard Grant,194439,1500052,Direct For Education and Human Resources,Division Of Graduate Education
2015,09/01/2015,08/31/2020,08/21/2015,06/17/2019,Standard Grant,299943,1500055,Direct For Education and Human Resources,Division Of Graduate Education
2015,06/01/2015,05/31/2018,05/21/2015,05/16/2017,Standard Grant,10590,1500067,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,09/01/2015,09/30/2018,05/15/2015,05/15/2015,Standard Grant,154866,1500069,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2015,09/01/2015,08/31/2019,09/11/2015,06/29/2017,Standard Grant,593872,1500076,Direct For Mathematical & Physical Scien,Division Of Chemistry
