Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2000,07/01/1986,07/01/1986,,,Continuing grant,,0000000,Direct For Biological Sciences,Div Of Molecular and Cellular Bioscience
2000,06/15/2000,05/31/2004,06/23/2000,04/16/2002,Continuing Grant,280000,0000009,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,06/15/2000,05/31/2004,07/14/2000,01/31/2003,Standard Grant,292026,0000026,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,04/15/2000,03/31/2004,04/12/2000,06/24/2003,Standard Grant,238000,0000027,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,09/01/2000,08/31/2003,05/12/2000,05/12/2000,Standard Grant,285000,0000031,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,10/01/2001,03/31/2005,09/21/2001,09/22/2004,Standard Grant,84000,0000033,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,01/01/2000,12/31/2003,01/24/2000,12/18/2001,Continuing Grant,526579,0000039,Directorate For Geosciences,Division Of Ocean Sciences
2000,04/15/2000,03/31/2005,04/13/2000,04/17/2003,Continuing Grant,377123,0000042,Directorate For Geosciences,Division Of Ocean Sciences
2000,03/01/2000,02/29/2004,03/03/2000,01/22/2003,Standard Grant,200000,0000047,Directorate For Geosciences,Division Of Ocean Sciences
2000,09/01/2001,08/31/2006,09/06/2001,08/23/2005,Continuing grant,176920,0000050,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,06/15/2000,05/31/2003,05/16/2000,03/12/2001,Continuing grant,167155,0000051,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,09/15/2000,08/31/2003,09/15/2000,10/25/2002,Continuing grant,180374,0000060,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,01/01/2000,07/31/2003,01/07/2000,04/09/2003,Cooperative Agreement,133984,0000070,Directorate For Geosciences,Division Of Ocean Sciences
2000,06/15/2000,05/31/2005,06/09/2000,03/29/2002,Continuing Grant,262000,0000079,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,06/01/2000,05/31/2004,06/01/2000,08/11/2003,Standard Grant,300876,0000081,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,09/01/2000,08/31/2003,08/17/2000,04/09/2001,Standard Grant,212000,0000089,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,05/01/2000,05/31/2003,04/25/2000,12/20/2002,Standard Grant,22800,0000096,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,05/31/2002,05/25/2000,05/25/2000,Standard Grant,68518,0000101,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,02/15/2000,01/31/2002,02/15/2000,02/15/2000,Standard Grant,20000,0000109,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,12/31/2003,05/08/2000,06/13/2002,Continuing grant,300000,0000121,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,09/01/2000,08/31/2004,08/17/2000,05/14/2002,Continuing Grant,202807,0000125,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,07/01/2000,06/30/2002,07/12/2000,07/12/2000,Standard Grant,48861,0000126,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,06/15/2000,05/31/2005,06/13/2000,06/13/2000,Standard Grant,317922,0000135,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,04/15/2000,03/31/2004,04/18/2000,04/18/2000,Standard Grant,120000,0000136,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,07/01/2000,06/30/2004,07/17/2000,07/08/2002,Continuing grant,274759,0000137,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,09/15/2000,10/31/2004,08/25/2000,02/14/2002,Standard Grant,119884,0000142,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,06/01/2000,11/30/2003,05/05/2000,05/10/2002,Continuing grant,310000,0000145,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2000,09/01/2000,08/31/2004,08/17/2000,05/14/2002,Continuing Grant,200522,0000154,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,05/01/2000,09/30/2003,06/01/2000,08/16/2002,Continuing grant,359999,0000163,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,09/01/2000,08/31/2003,08/22/2000,09/26/2003,Continuing grant,631078,0000164,Direct For Education and Human Resources,Division Of Research On Learning
2000,03/15/2000,09/30/2001,03/23/2000,03/23/2000,Standard Grant,50000,0000167,Direct For Education and Human Resources,Division Of Research On Learning
2000,08/15/2000,10/31/2004,08/11/2000,06/24/2002,Continuing grant,240000,0000170,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,06/15/2000,05/31/2005,07/12/2000,06/03/2004,Continuing grant,800000,0000171,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,03/01/2000,07/31/2000,03/22/2000,03/22/2000,Standard Grant,5000,0000172,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2000,12/01/1999,12/31/2001,01/06/2000,02/23/2001,Standard Grant,91394,0000173,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,07/01/2000,06/30/2003,06/23/2000,03/08/2002,Continuing grant,234402,0000176,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,05/01/2000,04/30/2003,05/05/2000,03/07/2002,Continuing Grant,190148,0000177,Direct For Mathematical & Physical Scien,Division Of Physics
2000,07/01/2000,08/31/2003,07/17/2000,09/25/2002,Continuing grant,289377,0000178,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2000,03/01/2000,02/28/2001,01/24/2000,01/24/2000,Standard Grant,12000,0000179,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,11/15/1999,12/31/2000,11/24/1999,12/21/1999,Standard Grant,100000,0000180,Direct For Education and Human Resources,Division Of Research On Learning
2000,03/15/2000,02/28/2002,05/04/2000,01/02/2001,Continuing grant,146459,0000181,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,06/01/2000,05/31/2001,05/24/2000,05/24/2000,Standard Grant,35000,0000182,Direct For Biological Sciences,Division Of Integrative Organismal Systems
2000,06/15/2000,05/31/2001,06/27/2000,09/05/2000,Standard Grant,34200,0000183,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,10/01/1999,09/30/2000,11/15/1999,11/15/1999,Interagency Agreement,150000,0000184,"Direct For Social, Behav & Economic Scie",National Center For S&E Statistics
2000,11/15/1999,04/30/2002,11/05/1999,01/13/2000,Continuing Grant,29981,0000185,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,02/01/2000,01/31/2001,01/19/2000,01/19/2000,Standard Grant,6545,0000186,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,05/15/2000,10/31/2002,05/23/2000,05/02/2001,Continuing grant,180000,0000187,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,10/15/1999,09/30/2001,11/03/1999,07/10/2001,Contract Interagency Agreement,460943,0000192,National Coordination Office,National Coordination Office
2000,10/13/1999,04/30/2000,10/14/1999,06/05/2000,BOA/Task Order,74065,0000193,Direct For Education and Human Resources,Division Of Undergraduate Education
2000,06/01/2000,11/30/2006,06/23/2000,07/17/2006,Continuing grant,682565,0000196,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,07/01/2000,06/30/2004,07/06/2000,07/06/2000,Standard Grant,164637,0000197,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,06/01/2000,05/31/2001,06/09/2000,06/09/2000,Standard Grant,7131,0000201,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,07/01/2000,06/30/2002,06/20/2000,06/20/2000,Standard Grant,32400,0000203,Directorate For Geosciences,Division Of Ocean Sciences
2000,10/01/1999,12/31/2003,11/15/1999,09/30/2003,Interagency Agreement,66000,0000204,"Directorate for Social, Behavioral & Economic Sciences",National Center for Science and Engineering Statistics.
2000,09/01/2000,08/31/2004,09/08/2000,09/08/2000,Standard Grant,167849,0000206,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2000,08/01/2000,09/30/2001,08/07/2000,08/07/2000,Standard Grant,7500,0000207,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,06/15/2000,05/31/2004,06/08/2000,05/07/2003,Standard Grant,15228,0000209,Office Of The Director,Office Of Internatl Science &Engineering
2000,08/01/2000,07/31/2003,07/24/2000,07/24/2000,Standard Grant,28440,0000211,Office Of The Director,Office Of Internatl Science &Engineering
2000,04/01/2000,03/31/2004,03/30/2000,03/30/2000,Standard Grant,44786,0000213,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/15/2000,05/31/2005,06/21/2000,05/08/2002,Continuing grant,184110,0000219,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,04/15/2000,06/30/2002,04/07/2000,11/23/2001,Standard Grant,10000,0000225,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,10/14/1999,04/30/2000,10/14/1999,06/08/2000,BOA/Task Order,20761,0000227,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2000,11/01/1999,10/31/2000,10/26/1999,08/09/2000,Interagency Agreement,0,0000228,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,11/30/2001,04/05/2000,04/05/2000,Standard Grant,10000,0000231,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,06/15/2000,11/30/2004,07/18/2000,07/18/2000,Standard Grant,29141,0000232,Office Of The Director,Office Of Internatl Science &Engineering
2000,04/01/2000,09/30/2001,04/05/2000,04/05/2000,Standard Grant,5400,0000233,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,05/15/2000,04/30/2002,04/25/2000,04/25/2000,Standard Grant,15418,0000237,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,12/31/2001,06/23/2000,06/23/2000,Standard Grant,7448,0000240,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,08/01/2000,10/31/2003,08/24/2000,05/18/2001,Standard Grant,216000,0000241,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,06/01/2000,05/31/2001,06/12/2000,06/12/2000,Standard Grant,7480,0000244,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,09/01/2000,08/31/2002,09/21/2000,09/21/2000,Standard Grant,99567,0000246,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2000,04/01/2000,08/31/2002,04/05/2000,04/05/2000,Standard Grant,7957,0000248,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,07/15/2000,06/30/2002,07/17/2000,07/17/2000,Standard Grant,7220,0000250,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,07/01/2000,06/30/2003,06/21/2000,07/17/2002,Continuing grant,180000,0000251,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,06/01/2000,05/31/2004,06/09/2000,05/14/2002,Continuing Grant,267998,0000252,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,08/01/2000,07/31/2004,08/11/2000,07/16/2002,Continuing grant,180000,0000255,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,04/15/2000,10/31/2003,06/09/2000,07/08/2002,Continuing grant,102732,0000256,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,06/01/2000,05/31/2002,06/09/2000,06/09/2000,Standard Grant,7435,0000257,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,06/15/2000,05/31/2003,06/07/2000,06/18/2002,Standard Grant,7500,0000260,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,09/01/2000,02/28/2002,08/25/2000,08/25/2000,Standard Grant,10000,0000262,Office Of The Director,Office Of Internatl Science &Engineering
2000,07/01/2000,12/31/2001,05/17/2000,05/17/2000,Standard Grant,9997,0000265,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,05/01/2000,09/30/2001,05/05/2000,05/05/2000,Standard Grant,10000,0000266,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,07/15/2000,03/31/2002,08/10/2000,12/12/2001,Standard Grant,7480,0000267,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,06/01/2000,05/31/2004,05/19/2000,05/06/2002,Continuing grant,180000,0000268,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,05/15/2000,04/30/2001,05/05/2000,05/05/2000,Standard Grant,11000,0000269,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2000,05/01/2000,04/30/2003,05/23/2000,05/23/2000,Standard Grant,9967,0000270,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,10/01/2000,09/30/2006,09/14/2000,08/25/2005,Cooperative Agreement,5293349,0000272,Direct For Education and Human Resources,Division Of Human Resource Development
2000,11/01/2000,10/31/2006,09/14/2000,04/24/2006,Cooperative Agreement,5024724,0000273,Direct For Education and Human Resources,Division Of Human Resource Development
2000,12/15/1999,11/30/2004,12/29/1999,12/29/1999,Standard Grant,497442,0000274,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,03/15/2000,06/30/2002,03/30/2000,03/30/2000,Standard Grant,9180,0000275,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,05/01/2000,04/30/2002,05/23/2000,05/23/2000,Standard Grant,10000,0000278,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,06/01/2000,11/30/2001,06/09/2000,06/09/2000,Standard Grant,8550,0000280,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,04/15/2000,09/30/2001,05/05/2000,05/05/2000,Standard Grant,5261,0000281,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,03/15/2000,07/31/2002,04/13/2000,04/13/2000,Standard Grant,9670,0000282,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,06/15/2000,05/31/2004,06/14/2000,06/14/2000,Standard Grant,300000,0000283,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2000,04/01/2000,09/30/2001,05/18/2000,05/18/2000,Standard Grant,8857,0000285,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,06/15/2000,05/31/2002,06/09/2000,06/09/2000,Standard Grant,24026,0000288,Directorate For Geosciences,Division Of Ocean Sciences
2000,07/15/2000,12/31/2002,07/13/2000,04/24/2001,Continuing grant,223777,0000291,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,03/15/2000,02/28/2002,04/07/2000,04/07/2000,Standard Grant,10000,0000293,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,11/01/2000,10/31/2006,09/20/2000,09/23/2005,Cooperative Agreement,8904424,0000295,Direct For Education and Human Resources,Division Of Human Resource Development
2000,07/15/2000,12/31/2002,07/25/2000,07/03/2002,Standard Grant,7500,0000296,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,03/15/2000,02/28/2001,04/10/2000,04/10/2000,Standard Grant,50722,0000298,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,05/01/2000,04/30/2002,04/05/2000,04/05/2000,Standard Grant,9108,0000299,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,09/01/2000,08/31/2004,09/06/2000,06/03/2002,Continuing grant,492768,0000303,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2000,11/01/2000,04/30/2007,09/12/2000,02/06/2007,Cooperative Agreement,5000000,0000305,Direct For Education and Human Resources,Division Of Human Resource Development
2000,07/01/2000,06/30/2003,07/05/2000,07/05/2000,Standard Grant,28515,0000309,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,05/31/2002,06/05/2000,06/05/2000,Standard Grant,7500,0000310,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,09/15/2000,08/31/2006,09/25/2000,09/08/2005,Continuing Grant,2739140,0000315,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,11/15/1999,03/31/2000,11/19/1999,11/19/1999,Standard Grant,27098,0000319,Direct For Education and Human Resources,Division Of Research On Learning
2000,12/01/1999,12/31/2001,11/01/1999,07/23/2001,Standard Grant,152608,0000320,Directorate For Geosciences,Division Of Ocean Sciences
2000,03/15/2001,02/29/2004,03/14/2001,03/14/2001,Standard Grant,303172,0000329,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,07/15/2001,06/30/2004,06/25/2001,06/25/2001,Standard Grant,179020,0000330,Directorate For Geosciences,Division Of Ocean Sciences
2000,02/15/2000,09/30/2006,02/09/2000,02/09/2000,Standard Grant,46962,0000331,Directorate For Geosciences,Division Of Ocean Sciences
2000,08/01/2000,07/31/2003,07/21/2000,07/21/2000,Standard Grant,210001,0000334,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,11/15/1999,10/31/2001,11/02/1999,11/02/1999,Standard Grant,21189,0000336,Directorate For Geosciences,Division Of Ocean Sciences
2000,05/01/2000,12/31/2002,05/22/2000,02/16/2001,Continuing Grant,102233,0000337,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,05/01/2000,04/30/2003,06/14/2000,02/04/2002,Continuing grant,45369,0000338,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,07/01/2000,06/30/2004,07/10/2000,06/18/2002,Continuing Grant,276002,0000339,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,05/15/2000,04/30/2003,05/19/2000,06/12/2001,Continuing grant,100959,0000340,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,11/01/2000,10/31/2005,08/11/2000,05/24/2005,Cooperative Agreement,3611000,0000341,Direct For Education and Human Resources,Division Of Human Resource Development
2000,01/01/2000,12/31/2000,11/18/1999,11/18/1999,Standard Grant,58055,0000342,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2000,04/01/2000,03/31/2004,03/23/2000,03/23/2000,Standard Grant,241975,0000351,Directorate For Geosciences,Division Of Ocean Sciences
2000,09/01/2000,10/31/2003,08/28/2000,09/15/2003,Cooperative Agreement,1885328,0000352,Direct For Education and Human Resources,Division Of Research On Learning
2000,08/01/2000,07/31/2001,07/25/2000,07/25/2000,Standard Grant,7500,0000353,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2000,03/01/2000,02/28/2002,02/16/2000,02/16/2000,Standard Grant,11983,0000354,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2000,08/01/2000,07/31/2003,07/27/2000,07/27/2000,Interagency Agreement,30000,0000355,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,09/01/2000,08/31/2003,09/15/2000,09/15/2000,Standard Grant,602626,0000361,Directorate For Geosciences,Division Of Ocean Sciences
2000,09/01/2000,08/31/2003,09/15/2000,09/15/2000,Standard Grant,298997,0000362,Directorate For Geosciences,Division Of Ocean Sciences
2000,02/01/2001,01/31/2004,09/15/2000,09/15/2000,Standard Grant,358819,0000363,Directorate For Geosciences,Division Of Ocean Sciences
2000,09/01/2000,08/31/2004,09/15/2000,06/18/2003,Standard Grant,478851,0000364,Directorate For Geosciences,Division Of Ocean Sciences
2000,02/01/2001,01/31/2003,09/15/2000,09/15/2000,Standard Grant,505781,0000365,Directorate For Geosciences,Division Of Ocean Sciences
2000,02/01/2000,01/31/2002,01/28/2000,01/28/2000,Standard Grant,84791,0000368,Direct For Education and Human Resources,Division Of Research On Learning
2000,11/01/1999,03/31/2012,12/20/1999,03/10/2016,Contract,1826832571,0000373,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,03/01/2000,08/31/2003,02/18/2000,09/05/2002,Standard Grant,91790,0000374,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,02/01/2000,07/31/2000,02/11/2000,02/11/2000,Standard Grant,7000,0000375,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,12/01/1999,11/30/2000,12/17/1999,12/17/1999,Standard Grant,5000,0000377,Direct For Mathematical & Physical Scien,Division Of Physics
2000,01/01/2000,12/31/2004,01/05/2000,04/24/2002,Continuing Grant,218921,0000385,Directorate For Geosciences,Division Of Earth Sciences
2000,04/01/2000,03/31/2001,04/04/2000,04/04/2000,Standard Grant,33333,0000386,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,04/01/2000,03/31/2001,04/04/2000,04/04/2000,Standard Grant,33333,0000387,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,04/01/2000,10/31/2001,04/03/2000,08/01/2001,Standard Grant,33333,0000388,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2000,09/01/2000,08/31/2004,09/06/2000,06/12/2002,Continuing Grant,349308,0000389,Directorate For Geosciences,Office of Polar Programs (OPP)
2000,01/01/2001,12/31/2001,08/23/2000,08/23/2000,Fellowship Award,41655,0000394,Office Of The Director,Office Of Internatl Science &Engineering
2000,03/01/2000,02/28/2001,02/29/2000,02/29/2000,Standard Grant,15000,0000395,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2000,08/01/2000,07/31/2004,07/27/2000,04/24/2002,Continuing grant,230766,0000400,Directorate For Geosciences,Division Of Earth Sciences
2000,01/15/2000,12/31/2000,12/27/1999,12/27/1999,Standard Grant,10000,0000405,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
2000,01/15/2000,12/31/2001,01/27/2000,01/27/2000,Standard Grant,7000,0000406,Office Of The Director,Office Of Internatl Science &Engineering
2000,04/01/2000,03/31/2001,04/28/2000,04/28/2000,Standard Grant,3500,0000407,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,07/01/2000,06/30/2004,06/13/2000,01/31/2002,Standard Grant,30000,0000408,Office Of The Director,Office Of Internatl Science &Engineering
2000,01/01/2000,12/31/2000,01/04/2000,01/04/2000,Standard Grant,35000,0000411,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,12/01/1999,11/30/2001,12/03/1999,12/03/1999,Standard Grant,104400,0000412,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,10/01/2000,12/31/2006,09/22/2000,10/06/2005,Continuing grant,1315000,0000417,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2000,09/01/2000,08/31/2005,07/11/2000,07/11/2000,Standard Grant,49330,0000419,Office Of The Director,Office Of Internatl Science &Engineering
2000,03/01/2000,12/31/2004,04/18/2000,07/19/2002,Continuing grant,120063,0000423,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2000,09/01/2000,08/31/2003,08/14/2000,08/14/2000,Standard Grant,24900,0000424,Office Of The Director,Office Of Internatl Science &Engineering
2000,06/01/2000,11/30/2001,06/13/2000,07/24/2001,Fellowship Award,35500,0000425,Office Of The Director,Office Of Internatl Science &Engineering
