Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2001,07/01/2001,06/30/2005,05/14/2001,07/17/2003,Continuing Grant,300000,0100009,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,08/15/2001,07/31/2005,08/20/2001,05/06/2005,Standard Grant,149995,0100012,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/01/2001,08/31/2003,07/12/2001,07/12/2001,Standard Grant,175204,0100016,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2001,11/15/2000,11/30/2004,11/03/2000,08/21/2003,Standard Grant,27000,0100019,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2001,06/01/2001,12/31/2005,03/26/2001,03/09/2005,Continuing grant,405693,0100020,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/01/2001,08/31/2003,04/30/2001,05/21/2002,Continuing grant,63728,0100021,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,06/30/2005,03/05/2001,03/05/2001,Standard Grant,176468,0100024,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,06/01/2001,05/31/2007,04/12/2001,03/03/2005,Continuing grant,328440,0100035,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/15/2001,05/31/2003,07/12/2001,07/12/2001,Standard Grant,220740,0100037,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,08/15/2001,07/31/2005,09/10/2001,04/29/2005,Continuing grant,219265,0100040,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2001,08/01/2001,07/31/2005,08/03/2001,05/21/2003,Continuing grant,165003,0100041,Direct For Mathematical & Physical Scien,Division Of Physics
2001,08/01/2001,07/31/2004,08/28/2001,05/16/2003,Continuing grant,108499,0100042,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,09/01/2001,08/31/2007,08/23/2001,08/30/2006,Standard Grant,129049,0100046,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/01/2001,06/30/2005,06/26/2001,01/18/2005,Continuing grant,380000,0100057,Direct For Mathematical & Physical Scien,Division Of Chemistry
2001,04/01/2001,03/31/2004,03/22/2001,03/22/2001,Standard Grant,208246,0100059,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,09/01/2001,08/31/2003,07/18/2001,07/18/2001,Standard Grant,107250,0100061,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,07/15/2001,06/30/2005,07/18/2001,02/17/2004,Standard Grant,279776,0100063,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,08/01/2001,07/31/2005,08/03/2001,06/25/2003,Continuing grant,245622,0100072,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2001,09/15/2001,08/31/2005,09/12/2001,06/20/2003,Continuing Grant,233800,0100073,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/01/2001,06/30/2006,04/05/2001,04/05/2001,Standard Grant,289279,0100074,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,06/01/2001,11/30/2005,06/04/2001,01/27/2003,Standard Grant,294000,0100075,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,06/01/2001,05/31/2005,05/29/2001,07/29/2003,Continuing grant,163109,0100078,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/15/2001,05/31/2003,06/06/2001,06/06/2001,Standard Grant,355578,0100085,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,02/01/2001,01/31/2003,12/11/2000,12/11/2000,Standard Grant,50000,0100087,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2001,07/01/2001,06/30/2007,03/19/2001,01/09/2007,Continuing grant,446963,0100090,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,06/30/2003,08/02/2001,08/02/2001,Standard Grant,105711,0100102,Direct For Mathematical & Physical Scien,Division Of Physics
2001,07/01/2001,06/30/2004,05/23/2001,08/23/2001,Standard Grant,118117,0100107,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,06/30/2004,06/29/2001,03/03/2003,Continuing grant,405000,0100108,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/01/2001,05/31/2005,04/27/2001,04/27/2001,Standard Grant,106020,0100110,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,12/01/2000,11/30/2002,12/04/2000,12/04/2000,Standard Grant,8907,0100112,"Direct For Social, Behav & Economic Scie",Divn Of Social and Economic Sciences
2001,03/01/2001,02/29/2008,03/12/2001,02/07/2007,Continuing grant,2182525,0100120,Directorate For Geosciences,Office of Polar Programs (OPP)
2001,06/01/2001,12/31/2005,06/04/2001,07/14/2005,Standard Grant,169000,0100122,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,08/15/2001,07/31/2006,03/26/2001,05/17/2005,Continuing Grant,436298,0100123,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,08/01/2001,04/30/2003,07/30/2001,07/30/2001,Standard Grant,65061,0100132,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,06/30/2004,06/20/2001,03/26/2003,Standard Grant,97046,0100133,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,08/01/2001,07/31/2006,07/20/2001,03/03/2006,Standard Grant,131772,0100137,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/15/2001,09/30/2004,07/09/2001,07/09/2001,Standard Grant,94000,0100141,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,03/31/2002,06/19/2001,06/19/2001,Continuing grant,35100,0100149,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,08/15/2001,06/30/2004,08/03/2001,08/04/2003,Standard Grant,270027,0100155,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,08/01/2001,07/31/2004,07/24/2001,07/24/2001,Standard Grant,64039,0100160,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/01/2001,05/31/2003,06/08/2001,11/29/2001,Standard Grant,153000,0100161,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,09/15/2001,08/31/2005,09/18/2001,09/18/2001,Standard Grant,162976,0100162,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,06/01/2001,05/31/2004,06/04/2001,06/04/2001,Standard Grant,96138,0100163,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,04/01/2001,03/31/2004,02/21/2001,05/10/2001,Standard Grant,167654,0100176,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/01/2001,07/31/2002,06/08/2001,04/12/2002,Continuing grant,56000,0100179,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/01/2001,08/31/2004,05/14/2001,06/16/2003,Continuing Grant,179993,0100186,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,10/01/2001,09/30/2006,08/31/2001,08/31/2001,Standard Grant,257530,0100188,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,06/15/2001,08/31/2003,07/12/2001,12/27/2001,Standard Grant,198895,0100193,Direct For Biological Sciences,Div Of Biological Infrastructure
2001,04/01/2001,03/31/2005,04/05/2001,02/13/2004,Standard Grant,400000,0100194,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,09/01/2001,08/31/2005,09/06/2001,09/06/2001,Standard Grant,155013,0100196,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,06/01/2001,02/28/2005,05/30/2001,05/30/2001,Standard Grant,240000,0100199,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,06/15/2001,05/31/2005,06/22/2001,07/14/2003,Continuing grant,300000,0100202,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,06/01/2001,05/31/2004,05/29/2001,05/29/2001,Standard Grant,81006,0100204,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,06/15/2001,09/30/2003,06/08/2001,06/08/2001,Standard Grant,50000,0100210,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,08/01/2001,07/31/2006,08/01/2001,05/31/2005,Continuing grant,1235637,0100211,Direct For Mathematical & Physical Scien,Division Of Physics
2001,05/01/2001,12/31/2004,05/25/2001,02/12/2003,Continuing grant,399999,0100220,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,09/15/2001,08/31/2004,09/13/2001,09/13/2001,Standard Grant,204645,0100223,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,01/15/2001,06/30/2002,01/23/2001,09/20/2001,Standard Grant,60000,0100238,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,04/15/2001,02/28/2006,04/10/2001,09/08/2003,Standard Grant,295124,0100243,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,07/01/2001,12/31/2005,05/14/2001,07/03/2003,Continuing grant,225000,0100246,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2001,06/01/2001,05/31/2005,06/04/2001,06/04/2001,Standard Grant,91021,0100249,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,07/01/2001,08/31/2004,06/19/2001,12/07/2001,Standard Grant,106312,0100252,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,05/15/2001,10/31/2005,04/30/2001,05/06/2005,Standard Grant,237816,0100255,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,07/15/2001,06/30/2005,07/17/2001,07/17/2001,Standard Grant,84001,0100260,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,09/01/2001,02/28/2005,08/16/2001,09/08/2004,Continuing grant,480000,0100273,Direct For Mathematical & Physical Scien,Division Of Materials Research
2001,11/01/2001,10/31/2004,10/17/2001,10/17/2001,Standard Grant,93831,0100277,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2001,04/01/2001,03/31/2005,03/29/2001,03/06/2003,Continuing Grant,310000,0100279,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2001,09/15/2001,08/31/2005,08/21/2001,08/21/2001,Standard Grant,199934,0100282,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
