Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2002,06/01/2002,05/31/2006,06/28/2002,03/31/2004,Continuing Grant,120000,0200012,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2002,04/01/2002,09/30/2002,04/09/2002,04/09/2002,Standard Grant,15750,0200014,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,09/01/2002,08/31/2006,09/12/2002,09/29/2005,Continuing Grant,241000,0200019,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,10/01/2002,09/30/2003,03/15/2002,03/15/2002,Standard Grant,15000,0200021,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2002,06/01/2002,05/31/2005,03/05/2002,05/03/2004,Continuing Grant,327059,0200029,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,07/01/2002,12/31/2005,04/26/2002,06/22/2004,Continuing grant,251343,0200045,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2002,07/01/2002,06/30/2005,05/28/2002,05/03/2004,Continuing Grant,138906,0200047,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2002,08/01/2002,07/31/2006,08/06/2002,02/23/2004,Continuing grant,330000,0200051,Direct For Biological Sciences,Division Of Integrative Organismal Systems
2002,04/01/2002,03/31/2003,03/19/2002,03/19/2002,Standard Grant,115000,0200054,Directorate For Geosciences,Division Of Ocean Sciences
2002,06/01/2002,05/31/2006,05/23/2002,05/23/2002,Standard Grant,193455,0200056,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,07/01/2002,06/30/2006,04/01/2002,05/03/2004,Continuing grant,392940,0200058,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,09/01/2002,08/31/2005,08/21/2002,09/02/2004,Continuing grant,49629,0200060,Direct For Mathematical & Physical Scien,Division Of Physics
2002,07/01/2002,12/31/2003,05/06/2002,07/19/2002,Standard Grant,91113,0200062,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,07/15/2002,06/30/2005,07/12/2002,07/12/2002,Standard Grant,150000,0200063,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2002,04/15/2002,03/31/2004,04/26/2002,04/26/2002,Standard Grant,283092,0200066,Directorate For Geosciences,Division Of Earth Sciences
2002,05/01/2002,04/30/2003,01/16/2002,01/16/2002,Standard Grant,10000,0200076,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
2002,07/15/2002,10/31/2004,06/28/2002,06/28/2002,Standard Grant,80158,0200080,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2002,09/01/2002,08/31/2006,07/31/2002,07/31/2002,Standard Grant,218738,0200091,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2002,05/01/2002,04/30/2004,04/18/2002,04/18/2002,Standard Grant,138309,0200093,Direct For Biological Sciences,Div Of Biological Infrastructure
2002,08/15/2002,12/31/2007,08/06/2002,06/20/2006,Standard Grant,1312292,0200099,Directorate For Geosciences,Division Of Ocean Sciences
2002,10/01/2002,09/30/2004,06/26/2002,06/26/2002,Fellowship Award,100000,0200104,Direct For Biological Sciences,Div Of Biological Infrastructure
2002,04/15/2002,05/31/2006,04/18/2002,05/05/2004,Continuing Grant,300000,0200120,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2002,07/01/2002,06/30/2004,06/19/2002,06/19/2002,Fellowship Award,100000,0200122,Direct For Biological Sciences,Div Of Biological Infrastructure
