Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2019,06/01/2019,05/31/2022,05/03/2019,04/17/2020,Continuing Grant,119539,1900008,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,08/01/2019,07/31/2022,07/10/2019,07/10/2019,Standard Grant,420000,1900011,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,10/01/2019,09/30/2023,07/03/2019,09/09/2019,Continuing Grant,200000,1900012,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2019,08/01/2019,07/31/2022,07/09/2019,07/09/2019,Standard Grant,250000,1900015,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,06/15/2019,05/31/2022,06/13/2019,06/13/2019,Standard Grant,449999,1900017,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,06/15/2019,05/31/2022,06/14/2019,04/06/2020,Continuing Grant,460000,1900020,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/01/2019,06/30/2022,06/13/2019,06/13/2019,Standard Grant,499915,1900022,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2019,07/01/2019,06/30/2022,05/30/2019,05/30/2019,Standard Grant,240000,1900025,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,07/01/2019,06/30/2022,05/09/2019,05/09/2019,Standard Grant,453365,1900035,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,10/01/2019,09/30/2022,07/03/2019,10/17/2019,Standard Grant,299943,1900036,Direct For Education and Human Resources,Division Of Undergraduate Education
2019,09/01/2019,08/31/2022,07/05/2019,07/05/2019,Standard Grant,419974,1900039,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,03/15/2019,02/29/2020,03/05/2019,03/05/2019,Standard Grant,25000,1900040,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,10/01/2019,09/30/2022,09/12/2019,09/12/2019,Standard Grant,480000,1900044,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2019,07/01/2019,06/30/2022,06/19/2019,06/19/2019,Standard Grant,497000,1900045,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,05/15/2019,04/30/2022,04/30/2019,04/30/2019,Standard Grant,299998,1900047,Direct For Education and Human Resources,Division Of Human Resource Development
2019,06/01/2019,05/31/2023,05/20/2019,06/09/2020,Continuing Grant,840000,1900048,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/01/2019,06/30/2022,06/18/2019,06/18/2019,Standard Grant,490000,1900050,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/01/2019,06/30/2022,06/18/2019,06/18/2019,Standard Grant,450000,1900060,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/01/2019,07/31/2023,07/26/2019,08/01/2019,Continuing Grant,247648,1900061,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2019,09/01/2019,08/31/2022,07/10/2019,07/10/2019,Standard Grant,499999,1900064,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,05/01/2019,11/30/2020,04/03/2019,03/18/2020,Continuing Grant,63788,1900076,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,08/01/2019,07/31/2022,07/23/2019,07/23/2019,Standard Grant,305097,1900077,Direct For Mathematical & Physical Scien,Division Of Materials Research
2019,07/01/2019,06/30/2022,06/19/2019,06/19/2019,Standard Grant,452986,1900078,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/15/2019,06/30/2022,07/10/2019,05/26/2020,Continuing Grant,199474,1900083,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,08/01/2019,07/31/2023,07/26/2019,08/01/2019,Continuing Grant,66019,1900085,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2019,06/01/2019,05/31/2022,05/22/2019,08/03/2020,Continuing Grant,480000,1900086,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,10/01/2019,09/30/2022,06/06/2019,06/06/2019,Standard Grant,299962,1900087,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2019,07/01/2019,06/30/2023,06/17/2019,06/17/2019,Standard Grant,1239688,1900093,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/01/2019,07/31/2022,07/16/2019,07/16/2019,Standard Grant,472092,1900094,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,09/01/2020,08/31/2023,02/28/2020,07/31/2020,Continuing Grant,450000,1900095,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/01/2019,07/31/2022,07/10/2019,07/10/2019,Standard Grant,485000,1900097,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/15/2019,07/31/2022,07/22/2019,07/22/2019,Standard Grant,449593,1900100,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/01/2019,06/30/2024,05/14/2019,06/01/2020,Continuing Grant,213243,1900101,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,06/01/2019,05/31/2022,05/03/2019,05/03/2019,Standard Grant,338614,1900102,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/15/2019,06/30/2023,07/12/2019,07/12/2019,Standard Grant,10875,1900105,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,08/01/2019,05/31/2021,07/24/2019,07/24/2019,Standard Grant,17994,1900108,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2019,05/01/2019,04/30/2022,04/05/2019,04/05/2019,Standard Grant,500000,1900109,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,09/01/2019,08/31/2022,07/29/2019,07/29/2019,Standard Grant,404704,1900119,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,06/01/2019,05/31/2022,05/05/2019,05/05/2019,Standard Grant,200000,1900124,Direct For Education and Human Resources,Division Of Human Resource Development
2019,08/15/2019,07/31/2022,07/09/2019,07/09/2020,Standard Grant,430455,1900125,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/01/2019,07/31/2022,07/31/2019,08/13/2020,Standard Grant,498569,1900127,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,07/15/2019,06/30/2023,07/12/2019,07/12/2019,Standard Grant,12081,1900128,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,06/01/2019,05/31/2020,12/21/2018,12/21/2018,Standard Grant,41012,1900134,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,07/01/2019,06/30/2022,06/25/2019,06/25/2019,Standard Grant,449592,1900135,Direct For Mathematical & Physical Scien,Division Of Materials Research
2019,07/01/2019,06/30/2022,05/03/2019,05/03/2019,Standard Grant,485000,1900136,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,08/01/2019,07/31/2023,07/29/2019,07/29/2019,Standard Grant,385000,1900140,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2019,08/01/2019,07/31/2022,07/09/2019,07/09/2019,Standard Grant,485000,1900141,Direct For Mathematical & Physical Scien,Division Of Chemistry
2019,10/01/2019,09/30/2023,07/26/2019,07/26/2019,Standard Grant,400000,1900145,Direct For Computer & Info Scie & Enginr,Division of Computing and Communication Foundations
2019,09/01/2019,08/31/2022,08/19/2019,07/08/2020,Continuing Grant,131662,1900149,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2019,08/01/2019,07/31/2022,07/24/2019,07/24/2019,Standard Grant,395000,1900151,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2019,10/01/2019,09/30/2021,08/06/2019,08/06/2019,Standard Grant,298363,1900153,Direct For Education and Human Resources,Division Of Undergraduate Education
2019,08/01/2019,07/31/2022,07/05/2019,05/23/2020,Continuing Grant,485000,1900154,Direct For Mathematical & Physical Scien,Division Of Chemistry
