Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2006,08/15/2006,07/31/2009,08/17/2006,08/17/2006,Standard Grant,228641,0600016,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,09/15/2005,07/31/2007,01/10/2006,01/10/2006,Standard Grant,28800,0600021,Office Of The Director,Office Of Internatl Science &Engineering
2006,06/01/2006,08/31/2010,04/19/2006,02/11/2008,Continuing grant,142571,0600027,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,06/30/2010,06/29/2006,05/16/2007,Standard Grant,220384,0600037,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,12/31/2009,04/07/2006,04/23/2008,Continuing grant,244932,0600042,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,06/30/2009,04/12/2006,04/22/2008,Continuing grant,208454,0600051,Direct For Mathematical & Physical Scien,Division Of Physics
2006,08/15/2006,01/31/2011,08/25/2006,08/03/2009,Standard Grant,320695,0600058,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,07/01/2006,06/30/2010,04/13/2006,04/13/2006,Standard Grant,80313,0600059,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,05/01/2006,04/30/2010,04/10/2006,04/10/2006,Standard Grant,300000,0600060,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,08/01/2006,05/31/2011,07/26/2006,08/15/2008,Standard Grant,77463,0600062,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,09/01/2006,11/30/2009,08/23/2006,08/07/2007,Standard Grant,280000,0600066,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,09/01/2006,08/31/2010,08/15/2006,11/04/2008,Continuing grant,247000,0600073,Direct For Mathematical & Physical Scien,Division Of Materials Research
2006,05/15/2006,08/31/2010,04/13/2006,02/16/2008,Continuing grant,359998,0600089,Direct For Mathematical & Physical Scien,Division Of Materials Research
2006,04/01/2006,03/31/2010,01/11/2006,01/11/2006,Standard Grant,375000,0600090,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,05/15/2006,04/30/2010,04/13/2006,04/13/2006,Standard Grant,129617,0600101,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,09/15/2006,01/31/2011,09/11/2006,09/08/2010,Standard Grant,274000,0600104,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,12/01/2006,11/30/2007,11/29/2006,11/29/2006,Standard Grant,97853,0600108,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,06/01/2006,05/31/2010,04/14/2006,04/07/2008,Continuing Grant,138363,0600112,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/15/2006,06/30/2010,07/11/2006,07/11/2006,Standard Grant,115000,0600122,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,04/15/2006,03/31/2010,04/10/2006,04/10/2006,Standard Grant,240000,0600130,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2006,07/01/2005,10/31/2007,10/26/2005,10/26/2005,Standard Grant,92121,0600140,Directorate For Geosciences,Division Of Earth Sciences
2006,07/01/2006,06/30/2010,04/28/2006,04/24/2009,Continuing grant,364127,0600148,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,05/01/2006,10/31/2006,04/18/2006,04/18/2006,Standard Grant,359632,0600169,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,02/15/2006,03/31/2008,02/13/2006,09/01/2007,Standard Grant,49481,0600171,Direct For Education and Human Resources,Division Of Research On Learning
2006,07/15/2006,07/31/2012,08/01/2006,07/29/2011,Standard Grant,230000,0600174,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,03/01/2006,02/28/2011,03/04/2006,03/04/2006,Standard Grant,398274,0600175,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,09/15/2006,08/31/2008,09/07/2006,09/07/2006,Standard Grant,68000,0600189,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,06/30/2010,01/09/2006,01/09/2006,Standard Grant,145598,0600191,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,06/30/2009,06/20/2006,06/20/2006,Standard Grant,124843,0600196,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,05/15/2006,06/30/2008,05/01/2006,05/01/2006,Standard Grant,99797,0600200,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2006,06/01/2006,05/31/2010,05/04/2006,07/09/2008,Continuing grant,293998,0600206,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,06/01/2006,05/31/2012,03/07/2006,06/17/2010,Continuing grant,399298,0600216,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,06/01/2006,05/31/2012,04/03/2006,04/15/2011,Standard Grant,234000,0600217,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,07/01/2006,06/30/2009,04/03/2006,03/25/2008,Continuing grant,194174,0600229,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2006,04/15/2006,09/30/2008,04/10/2006,09/01/2006,Standard Grant,115000,0600231,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
