Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2004,07/01/2004,06/30/2009,03/04/2004,05/07/2008,Standard Grant,228451,0400006,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,11/01/2003,10/31/2004,10/31/2003,10/31/2003,Standard Grant,6500,0400017,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2004,09/01/2003,08/31/2006,12/12/2003,06/22/2004,Continuing Grant,262297,0400025,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2004,08/01/2004,07/31/2007,07/21/2004,07/21/2004,Standard Grant,118800,0400034,Direct For Mathematical & Physical Scien,Division Of Chemistry
2004,05/01/2004,06/30/2007,03/04/2004,05/11/2006,Standard Grant,1000000,0400041,Direct For Education and Human Resources,Division Of Human Resource Development
2004,04/01/2005,03/31/2007,03/22/2005,03/27/2006,Continuing Grant,120000,0400053,Direct For Mathematical & Physical Scien,Division Of Physics
2004,06/01/2004,05/31/2008,03/29/2004,03/29/2004,Standard Grant,110880,0400054,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2004,05/15/2004,04/30/2008,05/06/2004,12/07/2004,Standard Grant,306000,0400061,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,07/01/2004,06/30/2008,06/25/2004,06/25/2004,Standard Grant,235110,0400071,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,01/01/2005,02/28/2007,08/24/2004,08/11/2005,Fellowship Award,100000,0400072,Direct For Biological Sciences,Div Of Biological Infrastructure
2004,06/01/2004,01/31/2009,05/27/2004,04/25/2008,Standard Grant,225784,0400081,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,07/01/2004,09/30/2006,06/25/2004,06/13/2005,Standard Grant,195715,0400085,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2004,02/01/2004,01/31/2010,02/05/2004,02/05/2004,Standard Grant,304920,0400102,Directorate For Geosciences,Division Of Ocean Sciences
2004,07/01/2004,06/30/2008,06/07/2004,04/04/2006,Continuing grant,382823,0400134,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,03/01/2004,02/29/2008,03/11/2004,02/23/2006,Standard Grant,275610,0400140,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,07/15/2004,12/31/2007,07/07/2004,07/07/2004,Standard Grant,221999,0400143,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2004,09/15/2003,08/31/2005,11/05/2003,08/18/2004,Continuing Grant,112940,0400149,Direct For Biological Sciences,Div Of Molecular and Cellular Bioscience
2004,09/01/2004,08/31/2009,09/02/2004,04/15/2008,Standard Grant,365168,0400155,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
