Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2016,07/01/2016,06/30/2020,04/04/2016,06/15/2018,Continuing Grant,376465,1600011,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,09/01/2016,08/31/2020,08/01/2016,02/01/2019,Standard Grant,1996139,1600012,Directorate For Geosciences,Division Of Ocean Sciences
2016,03/01/2016,02/28/2017,11/05/2015,11/05/2015,Standard Grant,10500,1600014,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,11/01/2015,10/31/2016,10/07/2015,10/07/2015,Standard Grant,83117,1600016,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2016,10/15/2015,09/30/2016,10/13/2015,10/13/2015,Standard Grant,50000,1600017,Directorate For Engineering,Div Of Industrial Innovation & Partnersh
2016,06/15/2016,05/31/2021,06/07/2016,05/31/2018,Continuing Grant,725107,1600018,Directorate For Geosciences,Div Atmospheric & Geospace Sciences
2016,08/01/2016,07/31/2019,07/19/2016,07/19/2016,Standard Grant,180000,1600023,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,06/01/2016,05/31/2019,04/08/2016,05/21/2018,Continuing Grant,199687,1600024,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,07/01/2016,06/30/2021,04/15/2016,06/24/2019,Continuing Grant,318177,1600028,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,09/01/2016,08/31/2020,08/19/2016,08/19/2016,Standard Grant,158004,1600032,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,02/01/2016,07/31/2016,11/18/2015,11/18/2015,Standard Grant,17500,1600043,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2016,08/15/2016,07/31/2021,08/15/2016,08/15/2016,Standard Grant,163312,1600048,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,08/01/2016,07/31/2021,07/12/2016,11/10/2016,Standard Grant,479116,1600049,Directorate For Geosciences,Division Of Ocean Sciences
2016,09/15/2016,08/31/2018,08/29/2016,08/29/2016,Standard Grant,77284,1600051,Direct For Biological Sciences,Div Of Biological Infrastructure
2016,08/01/2016,07/31/2021,07/12/2016,07/12/2016,Standard Grant,95164,1600053,Directorate For Geosciences,Division Of Ocean Sciences
2016,07/15/2016,10/31/2019,07/14/2016,05/16/2018,Continuing Grant,195000,1600056,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,08/01/2016,12/31/2016,08/05/2016,08/05/2016,Continuing Grant,306810,1600057,Direct For Mathematical & Physical Scien,Division Of Materials Research
2016,08/16/2015,12/31/2019,10/22/2015,05/29/2018,Standard Grant,515550,1600058,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2016,09/15/2016,08/31/2020,09/14/2016,09/14/2016,Standard Grant,560993,1600059,Direct For Mathematical & Physical Scien,Division Of Physics
2016,10/15/2015,12/31/2016,10/09/2015,10/09/2015,Standard Grant,295998,1600060,Direct For Education and Human Resources,Division Of Undergraduate Education
2016,06/15/2016,05/31/2017,06/07/2016,06/07/2016,Standard Grant,9000,1600061,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,09/15/2016,08/31/2020,09/13/2016,12/13/2019,Standard Grant,115901,1600062,Directorate For Geosciences,Division Of Ocean Sciences
2016,06/01/2016,05/31/2020,04/22/2016,07/01/2018,Continuing Grant,390000,1600065,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,03/15/2016,03/31/2019,03/04/2016,05/02/2018,Standard Grant,141914,1600075,Directorate For Engineering,"Div Of Chem, Bioeng, Env, & Transp Sys"
2016,07/01/2016,01/31/2018,07/11/2016,07/11/2016,Standard Grant,258001,1600080,Directorate For Geosciences,Division Of Ocean Sciences
2016,08/01/2016,07/31/2019,07/21/2016,07/21/2016,Standard Grant,199507,1600081,Direct For Education and Human Resources,Division Of Undergraduate Education
2016,02/01/2016,01/31/2018,01/27/2016,01/27/2016,Standard Grant,32073,1600085,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2016,05/01/2017,04/30/2022,05/08/2017,10/19/2020,Cooperative Agreement,11707971,1600087,Directorate For Geosciences,Division Of Earth Sciences
2016,09/15/2016,08/31/2021,09/13/2016,09/13/2016,Standard Grant,407673,1600089,Directorate For Geosciences,Division Of Ocean Sciences
2016,09/15/2016,10/31/2018,09/13/2016,09/13/2016,Standard Grant,1749658,1600109,Directorate For Geosciences,Division Of Ocean Sciences
2016,06/01/2016,05/31/2020,03/24/2016,05/24/2018,Continuing Grant,269997,1600116,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,02/15/2016,08/31/2018,02/10/2016,02/10/2016,Standard Grant,24967,1600117,"Direct For Social, Behav & Economic Scie",Division Of Behavioral and Cognitive Sci
2016,08/17/2015,12/31/2018,11/30/2015,01/13/2016,Standard Grant,310947,1600118,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2016,12/15/2015,11/30/2017,12/10/2015,12/10/2015,Standard Grant,48481,1600120,Direct For Education and Human Resources,Division Of Undergraduate Education
2016,05/01/2016,04/30/2017,11/06/2015,11/06/2015,Standard Grant,33000,1600121,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,07/01/2016,06/30/2021,06/13/2016,05/13/2020,Continuing Grant,210000,1600124,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,08/01/2016,07/31/2019,04/18/2016,06/13/2018,Continuing Grant,260000,1600129,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2016,09/15/2016,08/31/2021,09/13/2016,06/08/2020,Standard Grant,941590,1600131,Directorate For Geosciences,Division Of Ocean Sciences
2016,05/01/2016,04/30/2021,03/29/2016,04/06/2020,Continuing Grant,299999,1600138,Direct For Mathematical & Physical Scien,Division Of Astronomical Sciences
2016,06/01/2016,05/31/2021,04/22/2016,06/01/2018,Continuing Grant,390000,1600139,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
