Year,AwardEffectiveDate,AwardExpirationDate,MinAmdLetterDate,MaxAmdLetterDate,AwardInstrument,AwardAmount,AwardID,Directorate,Division
2012,09/15/2012,08/31/2016,09/13/2012,06/20/2014,Continuing Grant,355586,1200004,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,10/01/2012,09/30/2017,09/18/2012,09/21/2018,Interagency Agreement,175946,1200011,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,03/15/2012,02/28/2014,03/05/2012,03/05/2012,Standard Grant,104611,1200014,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2012,05/01/2012,04/30/2017,01/19/2012,01/19/2012,Standard Grant,465036,1200017,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,10/01/2012,09/30/2016,09/18/2012,05/02/2016,Standard Grant,446103,1200019,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2016,08/03/2012,08/03/2012,Standard Grant,360000,1200032,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2012,05/01/2012,04/30/2016,04/22/2012,04/22/2012,Standard Grant,305681,1200038,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/15/2012,03/31/2016,04/10/2012,04/10/2012,Standard Grant,121114,1200045,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/15/2012,03/31/2016,04/10/2012,04/10/2012,Standard Grant,149550,1200061,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,08/23/2012,04/21/2014,Standard Grant,205000,1200065,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2015,08/23/2012,08/23/2012,Standard Grant,100000,1200066,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2015,10/31/2015,04/30/2015,04/30/2015,Standard Grant,10000,1200068,Direct For Education and Human Resources,Division Of Human Resource Development
2012,06/01/2012,01/31/2014,04/19/2012,04/19/2012,Standard Grant,235000,1200074,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,02/29/2016,06/27/2012,06/27/2012,Standard Grant,366509,1200075,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2013,08/23/2012,08/23/2012,Standard Grant,195734,1200081,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,03/01/2012,03/01/2012,Standard Grant,135324,1200085,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/01/2012,07/31/2017,07/20/2012,08/22/2017,Standard Grant,323719,1200086,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,01/31/2017,06/25/2012,11/28/2014,Standard Grant,264932,1200087,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,04/22/2012,04/22/2012,Standard Grant,375000,1200089,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,12/31/2016,02/18/2012,12/20/2012,Standard Grant,406664,1200117,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,04/30/2015,03/04/2012,03/04/2012,Standard Grant,68328,1200120,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/15/2012,05/31/2014,04/10/2012,04/10/2012,Standard Grant,200000,1200121,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,02/29/2016,04/29/2012,04/29/2012,Standard Grant,256869,1200144,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2017,08/16/2012,07/15/2016,Continuing Grant,372409,1200152,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2012,02/14/2011,04/30/2014,11/18/2011,11/18/2011,Continuing Grant,386351,1200160,Direct For Mathematical & Physical Scien,Division Of Chemistry
2012,07/01/2012,08/31/2015,06/26/2012,06/26/2012,Standard Grant,265597,1200161,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2015,03/09/2012,03/09/2012,Standard Grant,149714,1200162,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2016,06/26/2012,03/11/2014,Standard Grant,456000,1200168,Directorate For Engineering,"Div Of Electrical, Commun & Cyber Sys"
2012,09/01/2012,08/31/2016,08/23/2012,08/23/2012,Standard Grant,202725,1200180,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,02/28/2014,06/27/2012,06/27/2012,Standard Grant,222069,1200196,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/15/2012,01/31/2013,05/12/2012,05/12/2012,Standard Grant,316784,1200201,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,02/28/2015,05/18/2012,05/18/2012,Standard Grant,335113,1200203,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,10/01/2012,09/30/2016,08/29/2012,08/20/2013,Continuing Grant,450000,1200221,Directorate For Engineering,Div Of Engineering Education and Centers
2012,09/01/2012,08/31/2016,08/23/2012,08/23/2012,Standard Grant,301977,1200231,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/01/2012,03/31/2015,02/25/2012,02/25/2012,Standard Grant,305748,1200237,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2016,07/20/2012,07/20/2012,Standard Grant,299946,1200241,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,08/31/2016,04/08/2012,04/08/2012,Standard Grant,250000,1200242,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/15/2012,10/31/2012,05/12/2012,05/12/2012,Standard Grant,286422,1200247,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2016,04/13/2012,08/05/2013,Standard Grant,247500,1200256,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,08/31/2016,09/11/2012,11/05/2015,Standard Grant,244772,1200259,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2016,04/03/2012,04/03/2014,Continuing grant,333000,1200261,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/15/2012,08/31/2015,09/10/2012,05/01/2015,Standard Grant,435109,1200270,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2019,04/12/2012,06/19/2018,Continuing grant,325058,1200271,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,03/31/2016,04/10/2012,04/10/2012,Standard Grant,236372,1200275,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2016,05/18/2012,05/18/2012,Standard Grant,134038,1200280,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2016,06/01/2012,06/01/2012,Standard Grant,131365,1200284,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,06/15/2012,05/31/2015,06/15/2012,05/29/2014,Continuing grant,195000,1200296,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,05/31/2014,03/23/2012,04/22/2013,Continuing grant,115390,1200304,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,02/01/2012,04/30/2013,12/07/2011,12/07/2011,Standard Grant,15340,1200313,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2016,03/09/2012,03/09/2012,Standard Grant,250515,1200315,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,02/01/2012,06/30/2016,01/11/2012,04/30/2015,Standard Grant,495830,1200318,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,12/31/2015,09/11/2012,09/11/2012,Standard Grant,260000,1200319,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,04/14/2012,04/14/2012,Standard Grant,349858,1200321,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/07/2011,07/31/2014,10/13/2011,10/13/2011,Standard Grant,99708,1200329,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,05/01/2012,04/30/2016,04/27/2012,05/27/2014,Standard Grant,369811,1200340,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2015,03/13/2012,03/13/2012,Standard Grant,398875,1200358,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2017,05/17/2012,05/17/2012,Standard Grant,150000,1200370,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/15/2012,10/31/2013,07/14/2012,07/14/2012,Standard Grant,299961,1200374,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2016,04/27/2012,04/27/2012,Standard Grant,255001,1200380,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/15/2012,01/31/2016,09/13/2012,09/13/2012,Standard Grant,416809,1200383,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,12/31/2015,07/17/2012,07/17/2012,Standard Grant,250001,1200385,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2016,07/19/2012,04/24/2014,Continuing grant,145649,1200388,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/15/2012,07/31/2016,07/31/2012,07/31/2012,Standard Grant,107938,1200397,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/01/2012,03/31/2015,03/19/2012,11/26/2014,Standard Grant,245315,1200406,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2015,04/22/2012,04/22/2012,Standard Grant,368366,1200408,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,08/31/2015,09/11/2012,09/11/2012,Standard Grant,406303,1200415,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/01/2012,03/31/2016,03/20/2012,03/20/2012,Standard Grant,313678,1200420,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/15/2012,09/30/2016,03/29/2012,03/29/2012,Standard Grant,269989,1200422,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2015,08/15/2012,08/15/2012,Standard Grant,400000,1200451,Direct For Mathematical & Physical Scien,Division Of Materials Research
2012,07/01/2012,06/30/2016,03/26/2012,07/01/2014,Continuing Grant,287541,1200455,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,06/01/2012,05/31/2018,05/18/2012,04/16/2017,Standard Grant,389289,1200465,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2015,04/24/2012,04/24/2012,Standard Grant,203571,1200475,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,08/31/2016,08/22/2012,07/31/2014,Continuing Grant,140000,1200478,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,05/01/2012,04/30/2016,04/27/2012,04/27/2012,Standard Grant,351575,1200484,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,08/31/2017,09/14/2012,07/29/2015,Continuing Grant,591213,1200487,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,04/30/2015,07/17/2012,07/17/2012,Standard Grant,259300,1200489,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/15/2012,04/30/2016,04/04/2012,08/03/2013,Standard Grant,200000,1200504,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2015,08/06/2012,08/06/2012,Standard Grant,180000,1200506,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,11/30/2014,09/11/2012,09/11/2012,Standard Grant,375563,1200515,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,04/15/2012,03/31/2016,04/10/2012,04/15/2015,Standard Grant,302938,1200521,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2015,04/10/2012,04/10/2012,Standard Grant,71571,1200526,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,10/01/2012,09/30/2016,09/19/2012,09/30/2013,Continuing Grant,228413,1200529,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,08/31/2017,09/14/2012,07/09/2015,Continuing grant,605990,1200535,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,06/30/2016,08/06/2012,08/06/2012,Standard Grant,450000,1200544,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/15/2012,08/31/2015,09/11/2012,09/11/2012,Standard Grant,289997,1200547,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2018,06/13/2012,06/28/2017,Standard Grant,225000,1200552,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2012,06/01/2012,05/31/2015,04/13/2012,04/13/2012,Standard Grant,130130,1200553,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/15/2012,07/31/2017,07/31/2012,07/08/2014,Standard Grant,328587,1200557,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2016,02/18/2012,02/18/2012,Standard Grant,200448,1200560,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2018,06/13/2012,06/13/2017,Standard Grant,262500,1200566,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2012,05/15/2012,04/30/2016,04/04/2012,07/08/2015,Standard Grant,266998,1200567,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2015,04/12/2012,04/12/2012,Standard Grant,161485,1200577,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,08/31/2016,08/22/2012,08/22/2012,Standard Grant,258929,1200579,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2015,08/22/2012,08/01/2014,Continuing Grant,129999,1200581,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2016,04/24/2012,04/24/2012,Standard Grant,243000,1200582,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2011,07/31/2016,10/06/2011,10/06/2011,Standard Grant,325000,1200592,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,04/30/2016,04/14/2012,04/14/2012,Standard Grant,329407,1200597,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2016,04/17/2012,04/17/2012,Standard Grant,135941,1200599,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,12/15/2011,11/30/2012,12/05/2011,07/03/2012,Standard Grant,25329,1200615,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,05/15/2012,04/30/2017,03/17/2012,03/17/2012,Standard Grant,233134,1200616,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2017,08/20/2012,08/20/2012,Standard Grant,379658,1200639,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,01/31/2016,04/04/2012,04/23/2014,Standard Grant,260163,1200641,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,08/20/2012,08/20/2012,Standard Grant,200000,1200642,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,04/30/2016,04/29/2012,04/12/2013,Standard Grant,307513,1200647,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,04/30/2015,03/22/2012,08/22/2013,Standard Grant,500000,1200648,Direct For Computer & Info Scie & Enginr,Division Of Computer and Network Systems
2012,07/01/2012,10/31/2012,06/28/2012,06/28/2012,Standard Grant,75302,1200652,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,02/28/2015,04/12/2012,05/28/2014,Continuing Grant,293983,1200656,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2017,06/19/2012,07/28/2013,Standard Grant,500000,1200682,Directorate For Engineering,Div Of Engineering Education and Centers
2012,07/01/2012,12/31/2014,03/23/2012,06/18/2014,Continuing grant,200000,1200684,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/01/2012,07/31/2016,07/25/2012,07/25/2012,Standard Grant,125000,1200685,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2017,03/29/2012,03/29/2012,Standard Grant,198874,1200701,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2016,06/27/2012,06/27/2012,Standard Grant,341515,1200702,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,07/31/2018,03/26/2012,05/15/2017,Standard Grant,211148,1200721,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2017,04/11/2012,04/29/2015,Continuing grant,420000,1200726,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/01/2012,07/31/2016,07/16/2012,07/16/2012,Standard Grant,150000,1200730,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,01/01/2012,12/31/2012,10/31/2011,10/31/2011,Standard Grant,21315,1200734,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,06/01/2012,05/31/2016,04/04/2012,04/22/2014,Continuing grant,300000,1200747,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,08/01/2012,07/31/2015,07/16/2012,07/16/2012,Standard Grant,120000,1200749,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,09/01/2012,08/31/2016,08/23/2012,12/27/2013,Standard Grant,398994,1200780,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,10/31/2013,03/17/2012,03/17/2012,Standard Grant,300000,1200787,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/15/2012,07/31/2016,08/10/2012,08/10/2012,Standard Grant,374999,1200788,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/29/2011,08/31/2017,10/31/2011,04/29/2015,Continuing Grant,529356,1200792,Direct For Computer & Info Scie & Enginr,Div Of Information & Intelligent Systems
2012,03/01/2012,02/29/2016,02/18/2012,11/13/2012,Standard Grant,362000,1200799,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2015,04/22/2012,05/04/2015,Standard Grant,0,1200800,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,06/01/2012,05/31/2017,11/17/2011,11/17/2011,Standard Grant,45000,1200801,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,06/01/2012,05/31/2016,04/12/2012,04/25/2014,Continuing grant,154791,1200804,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2016,04/16/2012,08/11/2014,Continuing Grant,300426,1200807,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2015,04/11/2012,04/11/2012,Standard Grant,96565,1200815,Direct For Mathematical & Physical Scien,Division Of Mathematical Sciences
2012,07/01/2012,06/30/2017,04/10/2012,05/24/2016,Standard Grant,264400,1200820,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,11/30/2016,08/20/2012,08/18/2016,Standard Grant,339982,1200830,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,05/01/2012,04/30/2015,04/27/2012,04/27/2012,Standard Grant,375000,1200834,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,01/01/2013,12/31/2016,09/18/2012,09/18/2012,Standard Grant,300000,1200838,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,08/01/2012,04/30/2018,07/26/2012,04/16/2017,Standard Grant,360000,1200839,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,09/01/2012,08/31/2016,08/22/2012,08/22/2012,Standard Grant,299208,1200841,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,12/31/2016,06/25/2012,06/25/2012,Standard Grant,352033,1200847,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
2012,07/01/2012,06/30/2015,07/16/2012,04/23/2013,Standard Grant,474808,1200850,Directorate For Engineering,"Div Of Civil, Mechanical, & Manufact Inn"
